2023-11-29 14:48:06.602 [] [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-11-29 14:48:06.619 [] [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6c2ed0cd, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7d9e8ef7, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@f107c50, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51133c06, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4b213651, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4241e0f4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ebff610, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@60410cd, org.springframework.test.context.event.EventPublishingTestExecutionListener@44d52de2, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@95e33cc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@38604b81, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1e44b638, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7393222f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@babafc2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@31add175]
2023-11-29 14:48:09.585 [] [main] INFO  com.example.idsdemo.IdsDemoApplicationTests - Starting IdsDemoApplicationTests using Java 1.8.0_291 on LAPTOP-9HR8DGCC with PID 24728 (started by YU in E:\guo_chuang\ids_2023\ids-demo)
2023-11-29 14:48:09.585 [] [main] INFO  com.example.idsdemo.IdsDemoApplicationTests - No active profile set, falling back to default profiles: default
2023-11-29 14:48:10.195 [] [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-11-29 14:48:10.198 [] [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-11-29 14:48:10.222 [] [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2023-11-29 14:48:10.523 [] [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=54bb8478-301c-3033-86b9-6a8bba75bc2c
2023-11-29 14:48:10.781 [] [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.example.idsdemo.config.RedisConfig$$EnhancerBySpringCGLIB$$bb368349] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-11-29 14:48:17.794 [] [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
